的 de5  ⿰白勺 0
喝 he1 嗬诃呵 ⿰口曷 344
技 ji4 妓𬶭迹暨垍季寂鲚骥偈 ⿰扌支 345
术 shu4 庶腧墅漱澍𬬸述沭树数 ⿺木丶 346
口 kou3  ⿱冂一 347
继 ji4 漈寂𪟝惎纪际𬶨髻穄徛 ⿰纟⿺𠃊米 348
续 xu4 序叙蓄湑恤勖旭酗昫婿 ⿰纟卖 349
响 xiang3 鲞想享飨饷 ⿰口向 350
服 fu2 怫蝠菔桴垺罘浮弗洑黻 ⿰月𠬝 351
务 wu4 戊婺焐痦骛鋈误屼靰勿 ⿱夂力 352
决 jue2 镢觖倔爵爝孓傕𫘝掘𫔎 ⿰冫夬 353
式 shi4 筮事贳柿释奭栻氏舐拭 ⿹弋工 354
解 jie3 檞姐 ⿰角𭷔 355
令 ling4 另呤 ⿱亽龴 356
示 shi4 适饰誓事铈栻侍谥氏士 ⿱二小 357
故 gu4 崮锢梏堌顾雇痼牿固鲴 ⿰古攵 358
信 xin4 囟衅 ⿰亻言 359
息 xi1 悉熹析曦熙僖睎晞郗蜥 ⿱自心 360
干 gan1 柑玕酐虷肝竿矸尴坩甘 ⿱一十 361
越 yue4 岳樾跃籥阅粤月龠悦𬸚 ⿺走戉 362
早 zao3 澡枣璪藻蚤 ⿱日十 363
原 yuan2 沅橼妧塬援袁垣爰鼋螈 ⿸厂⿱白小 364
红 hong2 谼弘𬭎蕻虹鸿纮玒闳泓 ⿰纟工 365
提 ti2 鳀瑅鹈啼遆荑蹄𫘨题醍 ⿰扌是 366
供 gong1 躬觥宫工攻公肱蚣恭䢼 ⿰亻共 367
际 ji4 寄祭既芰觊穄蓟迹𬶭罽 ⿰阝示 368
法 fa3 砝 ⿰氵去 369
专 zhuan1 砖颛䏝 ⿱⿻二丶 370
闻 wen2 雯𫘜纹炆蚊芠玟文阌 ⿵门耳 371
言 yan2 沿檐盐妍蜒筵闫阎𫄧研 ⿳亠𠄠口 372
受 shou4 兽狩寿绶售授瘦 ⿳爫冖又 373
篇 pian1 翩犏偏 ⿱𥫗扁 374
边 bian1 砭煸鞭编蝙萹笾鳊 ⿺辶力 375
包 bao1 龅胞苞褒孢枹煲 ⿹勹巳 376
括 kuo4 廓蛞阔扩 ⿰扌舌 377
目 mu4 钼慕木仫暮沐穆墓幕牧 ⿴囗𠄠 378
离 li2 狸鹂犁漓黧厘蜊嫠梨罹 ⿱㐫禸 379
部 bu4 布怖埔蔀瓿埗步钚簿不 ⿰咅阝 380
啦 la1 邋拉垃 ⿰口拉 381
介 jie4 悈届芥玠蚧骱借褯戒界 ⿱人⿰丿丨 382
绍 shao4 潲劭邵睄哨 ⿰纟召 383
哪 na3 乸 ⿰口那 384
识 shi2 拾炻食蚀鼫祏实十湜鲥 ⿰讠只 385
爸 ba4 耙坝灞霸鲅罢 ⿱父巴 386
入 ru4 洳缛溽蓐褥 ⿹乀丿 387
精 jing1 鼱经猄泾旌麖茎鲸惊菁 ⿰米青 388
