一
乙
灾 ⿱宀火
良 "⿱丶艮(GHT) or ⿱丨艮(JK) or ⿱一艮(V)"
证 ⿰讠正
启 "⿸户口(GH) or ⿸戶口(TJK)"
评 ⿰讠平
补 ⿰衤卜
初 ⿰衤刀
社 ⿰礻土
祀 ⿰礻巳
识 ⿰讠只
诈 ⿰讠乍
诉 ⿰讠斥
罕 ⿱㓁干
诊 ⿰讠㐱
词 ⿰讠司
译 ⿰讠𠬤
君 ⿸尹口
灵 "⿱𫜹火 or ⿱⺕火"
即 ⿰⿲𠄌𫜹丶卩
层 ⿸尸云
屁 ⿸尸比
尿 ⿸尸水
尾 ⿸尸毛
迟 ⿺辶尺
局 ⿸尸⿹𠃌口
改 ⿰己攵
张 ⿰弓长
忌 ⿱己心
际 ⿰阝示
陆 ⿰阝击
