巛,  
囡 6 ⿴囗女
钇 6 ⿰钅乙
缶 6 ⿱午凵
氘 6 ⿹气⿰丿丨
氖 6 ⿹气乃
牝 6 ⿰牛匕
伎 6 ⿰亻支
伛 6 ⿰亻区
伢 6 ⿰亻牙
仵 6 ⿰亻午
伥 6 ⿰亻长
伧 6 ⿰亻仓
伉 6 ⿰亻亢
伫 6 ⿰亻㝉
囟 6 ⿱丿龱
汆 6 ⿱入水
刖 6 ⿰月刂
夙 6 ⿵几歹
旮 6 ⿱九日
刎 6 ⿰勿刂
犷 6 ⿰犭广
犸 6 ⿰犭马
舛 6 ⿰夕㐄
凫 6 ⿹鸟一几
饧 6 ⿰饣𠃓
汕 6 ⿰氵山
汔 6 ⿰氵乞
汐 6 ⿰氵夕
汲 6 ⿰氵及
汜 6 ⿰氵巳
汊 6 ⿰氵叉
忖 6 ⿰忄寸
忏 6 ⿰忄千
讴 6 ⿰讠区
讵 6 ⿰讠巨
讷 6 ⿰讠内
聿 6 ⿻肀二
艮 6 ⿸⿰𠄌𫜹⿺丿
厾 6 ⿹去
丞 6 ⿱氶一
妁 6 ⿰女勺
牟 6 ⿱厶牛
纡 6 ⿰纟于
纣 6 ⿰纟寸
纥 6 ⿰纟乞
纨 6 ⿰纟丸
邘 6 ⿰于阝
扞 6 ⿰扌干
圲 6 ⿰土千
圫 6 ⿰土乇
芏 6 ⿱艹土
芃 6 ⿱艹凡
朳 6 ⿰木八
朸 6 ⿰木力
𨙸 6 ⿰支阝
吒 6 ⿰口乇
吖 6 ⿰口丫
屼 6 ⿰山兀
屾 6 ⿰山山
辿 6 ⿺辶山
钆 6 ⿰钅乚
仳 6 ⿰亻比
伣 6 ⿰亻见
伈 6 ⿰亻心
癿 6 ⿰白乚
甪 6 ⿱丿用
犴 6 ⿰犭干
冱 6 ⿰冫互
闫 6 ⿵门三
𬇕 6 ⿰氵万
汋 6 ⿰氵勺
讻 6 ⿰讠凶
𬣞 6 ⿰讠㝉
孖 6 ⿰子子
𬘓 6 ⿰纟川
纩 6 ⿰纟广
⺮ 6 ⿰⿱𠂉丶⿱𠂉丶
覀 6 ⿱一⿻口⿰丨丨
𫠥 6 
兊 6 公儿
𠂢 6 
𠂤 6 
㐫 6 亠凶
𠇍 6 
乑 6 亻𰀪丿
㐆 6 𠂆𫜹𠃌
㓞 6 丰刀
龹 6 丷夫
𰁜 6 
厽 6 厶厸
𠅃 6 
劦 6 力𠠴
叒 6 又双
𠫤 6 
吂 6 亡口
吅 6 口口
𠮷 6 
夅 6 夂㐄
𪧷 6 
𡰪 6 
尗 6 上小
𡿪 6 
𡰯 6 
弚 6 丷弔
𢦏 6 
𭥍 6 
朿 6 木冂
屰 6 䒑屮
巟 6 亡𫶧
𢆶 6 
㡯 6 广乇
𭤨 6 
汒 6 氵亡
甶 6 丿田
𦓐 6 
𦣞 6 
䏌 6 八月
𦈢 6 
䏍 6 厶月
穵 6 穴乙
𦍌 6 
𥫗 6 
肎 6 冖
𧰨 6 
䒑 6 丷一
𦥑 6 
𢀛 6 
𡗞 6 
𫥞 6 
𢗀 6 
虍 6 乛丿七
糸 6 幺小
艸 6 
襾 6 
邦 7 ⿰丰阝
邪 7 ⿰牙阝
屿 7 ⿰山与
廷 7 ⿺廴𡈼
似 7 ⿰亻以
那 7 ⿰𭃂阝
阵 7 ⿰阝车
阳 7 ⿰阝日
